state,abbr,president,year,mentions
Ohio,OH,Warren G. Harding,1923,6
Ohio,OH,William Howard Taft,1908,2
Ohio,OH,William Howard Taft,1909,28
Ohio,OH,William Howard Taft,1910,2
Ohio,OH,William J. Clinton,1993,34
Ohio,OH,William J. Clinton,1994,69
Ohio,OH,William J. Clinton,1995,46
Ohio,OH,William J. Clinton,1996,116
Ohio,OH,William J. Clinton,1997,14
Ohio,OH,William J. Clinton,1998,49
Ohio,OH,William J. Clinton,1999,17
Ohio,OH,William J. Clinton,2000,48
Ohio,OH,William J. Clinton,2001,1
Ohio,OH,William J. Clinton,2008,1
Ohio,OH,Woodrow Wilson,1919,1
Oklahoma,OK,Barack Obama,2009,5
Oklahoma,OK,Barack Obama,2010,4
Oklahoma,OK,Barack Obama,2011,1
Oklahoma,OK,Barack Obama,2012,14
Oklahoma,OK,Barack Obama,2013,29
Oklahoma,OK,Barack Obama,2014,17
Oklahoma,OK,Barack Obama,2015,21
Oklahoma,OK,Barack Obama,2016,6
Oklahoma,OK,Donald J. Trump (1st Term),2017,2
Oklahoma,OK,Donald J. Trump (1st Term),2018,9
Oklahoma,OK,Donald J. Trump (1st Term),2019,10
Oklahoma,OK,Donald J. Trump (1st Term),2020,87
Oklahoma,OK,Donald J. Trump (2nd Term),2025,15
Oklahoma,OK,Dwight D. Eisenhower,1953,2
Oklahoma,OK,Dwight D. Eisenhower,1954,2
Oklahoma,OK,Dwight D. Eisenhower,1955,1
Oklahoma,OK,Dwight D. Eisenhower,1956,1
Oklahoma,OK,Dwight D. Eisenhower,1957,3
Oklahoma,OK,Franklin D. Roosevelt,1936,3
Oklahoma,OK,Franklin D. Roosevelt,1937,2
Oklahoma,OK,Franklin D. Roosevelt,1938,7
Oklahoma,OK,Franklin D. Roosevelt,1943,1
Oklahoma,OK,Franklin D. Roosevelt,1944,4
Oklahoma,OK,George Bush,1989,7
Oklahoma,OK,George Bush,1990,24
Oklahoma,OK,George Bush,1991,1
Oklahoma,OK,George Bush,1992,38
Oklahoma,OK,George W. Bush,2001,11
Oklahoma,OK,George W. Bush,2002,22
Oklahoma,OK,George W. Bush,2003,4
Oklahoma,OK,George W. Bush,2004,3
Oklahoma,OK,George W. Bush,2005,2
Oklahoma,OK,George W. Bush,2006,8
Oklahoma,OK,George W. Bush,2007,9
Oklahoma,OK,George W. Bush,2008,9
Oklahoma,OK,Gerald R. Ford,1974,30
Oklahoma,OK,Gerald R. Ford,1975,19
Oklahoma,OK,Gerald R. Ford,1976,30
Oklahoma,OK,Herbert Hoover,1929,1
Oklahoma,OK,Herbert Hoover,1930,1
Oklahoma,OK,Herbert Hoover,1931,5
Oklahoma,OK,Herbert Hoover,1932,1
Oklahoma,OK,Jimmy Carter,1977,6
Oklahoma,OK,Jimmy Carter,1978,10
Oklahoma,OK,Jimmy Carter,1979,14
Oklahoma,OK,Jimmy Carter,1980,7
Oklahoma,OK,John F. Kennedy,1961,7
Oklahoma,OK,John F. Kennedy,1962,5
Oklahoma,OK,"Joseph R. Biden, Jr.",2021,4
Oklahoma,OK,"Joseph R. Biden, Jr.",2022,11
Oklahoma,OK,"Joseph R. Biden, Jr.",2023,2
Oklahoma,OK,"Joseph R. Biden, Jr.",2024,10
Oklahoma,OK,"Joseph R. Biden, Jr.",2025,1
Oklahoma,OK,Lyndon B. Johnson,1964,35
Oklahoma,OK,Lyndon B. Johnson,1965,8
Oklahoma,OK,Lyndon B. Johnson,1966,44
Oklahoma,OK,Lyndon B. Johnson,1967,2
Oklahoma,OK,Lyndon B. Johnson,1968,5
Oklahoma,OK,Richard Nixon,1969,1
Oklahoma,OK,Richard Nixon,1971,12
Oklahoma,OK,Richard Nixon,1972,12
Oklahoma,OK,Richard Nixon,1973,1
Oklahoma,OK,Richard Nixon,1974,5
Oklahoma,OK,Ronald Reagan,1981,2
Oklahoma,OK,Ronald Reagan,1982,19
Oklahoma,OK,Ronald Reagan,1983,6
Oklahoma,OK,Ronald Reagan,1984,10
Oklahoma,OK,Ronald Reagan,1985,22
Oklahoma,OK,Ronald Reagan,1986,20
Oklahoma,OK,Ronald Reagan,1987,6
Oklahoma,OK,Ronald Reagan,1989,1
Oklahoma,OK,Theodore Roosevelt,1905,6
Oklahoma,OK,William Howard Taft,1908,1
Oklahoma,OK,William Howard Taft,1909,1
Oklahoma,OK,William J. Clinton,1993,9
Oklahoma,OK,William J. Clinton,1994,23
Oklahoma,OK,William J. Clinton,1995,41
Oklahoma,OK,William J. Clinton,1996,10
Oklahoma,OK,William J. Clinton,1997,3
Oklahoma,OK,William J. Clinton,1998,9
Oklahoma,OK,William J. Clinton,1999,26
Oklahoma,OK,William J. Clinton,2000,3
Oklahoma,OK,William J. Clinton,2001,3
Oklahoma,OK,Woodrow Wilson,1919,1
Oregon,OR,Barack Obama,2004,1
Oregon,OR,Barack Obama,2009,7
Oregon,OR,Barack Obama,2010,18
Oregon,OR,Barack Obama,2011,16
Oregon,OR,Barack Obama,2012,8
Oregon,OR,Barack Obama,2013,14
Oregon,OR,Barack Obama,2015,36
Oregon,OR,Barack Obama,2016,3
Oregon,OR,Calvin Coolidge,1924,1
Oregon,OR,Calvin Coolidge,1925,1
Oregon,OR,Calvin Coolidge,1926,1
Oregon,OR,Donald J. Trump (1st Term),2017,7
Oregon,OR,Donald J. Trump (1st Term),2018,12
Oregon,OR,Donald J. Trump (1st Term),2019,5
Oregon,OR,Donald J. Trump (1st Term),2020,56
Oregon,OR,Donald J. Trump (2nd Term),2025,21
Oregon,OR,Donald J. Trump (2nd Term),2026,1
Oregon,OR,Dwight D. Eisenhower,1954,2
Oregon,OR,Dwight D. Eisenhower,1956,6
Oregon,OR,Dwight D. Eisenhower,1958,1
Oregon,OR,Franklin D. Roosevelt,1934,3
Oregon,OR,Franklin D. Roosevelt,1936,1
Oregon,OR,Franklin D. Roosevelt,1937,7
Oregon,OR,Franklin D. Roosevelt,1938,3
Oregon,OR,Franklin D. Roosevelt,1939,1
Oregon,OR,George Bush,1989,3
Oregon,OR,George Bush,1990,18
Oregon,OR,George Bush,1991,5
Oregon,OR,George Bush,1992,19
Oregon,OR,George W. Bush,2001,2
Oregon,OR,George W. Bush,2002,38
Oregon,OR,George W. Bush,2003,23
Oregon,OR,George W. Bush,2004,37
Oregon,OR,George W. Bush,2005,14
Oregon,OR,George W. Bush,2006,4
Oregon,OR,George W. Bush,2007,4
Oregon,OR,George W. Bush,2008,3
Oregon,OR,Gerald R. Ford,1974,18
Oregon,OR,Gerald R. Ford,1975,16
Oregon,OR,Gerald R. Ford,1976,63
Oregon,OR,Herbert Hoover,1930,1
Oregon,OR,Herbert Hoover,1932,7
Oregon,OR,James K. Polk,1845,1
Oregon,OR,Jimmy Carter,1977,3
Oregon,OR,Jimmy Carter,1978,25
Oregon,OR,Jimmy Carter,1979,5
Oregon,OR,Jimmy Carter,1980,14
Oregon,OR,John F. Kennedy,1961,2
Oregon,OR,John F. Kennedy,1963,3
Oregon,OR,"Joseph R. Biden, Jr.",2021,8
Oregon,OR,"Joseph R. Biden, Jr.",2022,56
Oregon,OR,"Joseph R. Biden, Jr.",2023,4
Oregon,OR,"Joseph R. Biden, Jr.",2024,4
Oregon,OR,Lyndon B. Johnson,1964,16
Oregon,OR,Lyndon B. Johnson,1965,4
Oregon,OR,Lyndon B. Johnson,1966,8
Oregon,OR,Lyndon B. Johnson,1967,4
Oregon,OR,Lyndon B. Johnson,1968,2
Oregon,OR,Richard Nixon,1969,2
Oregon,OR,Richard Nixon,1970,2
Oregon,OR,Richard Nixon,1971,9
Oregon,OR,Ronald Reagan,1981,3
Oregon,OR,Ronald Reagan,1982,4
Oregon,OR,Ronald Reagan,1983,14
Oregon,OR,Ronald Reagan,1984,4
Oregon,OR,Ronald Reagan,1985,3
Oregon,OR,Ronald Reagan,1986,2
Oregon,OR,Ronald Reagan,1987,1
Oregon,OR,Ronald Reagan,1988,2
Oregon,OR,Theodore Roosevelt,1902,3
Oregon,OR,Theodore Roosevelt,1903,11
Oregon,OR,Warren G. Harding,1923,10
Oregon,OR,William Howard Taft,1909,2
Oregon,OR,William Howard Taft,1910,2
Oregon,OR,William J. Clinton,1993,16
Oregon,OR,William J. Clinton,1994,10
Oregon,OR,William J. Clinton,1995,23
Oregon,OR,William J. Clinton,1996,52
Oregon,OR,William J. Clinton,1997,5
Oregon,OR,William J. Clinton,1998,32
Oregon,OR,William J. Clinton,1999,9
Oregon,OR,William J. Clinton,2000,29
Oregon,OR,Woodrow Wilson,1919,2
Pennsylvania,PA,Abraham Lincoln,1860,1
Pennsylvania,PA,Abraham Lincoln,1863,1
Pennsylvania,PA,Abraham Lincoln,1864,2
Pennsylvania,PA,Andrew Johnson,1865,1
Pennsylvania,PA,Andrew Johnson,1866,2
Pennsylvania,PA,Barack Obama,2009,47
Pennsylvania,PA,Barack Obama,2010,39
Pennsylvania,PA,Barack Obama,2011,27
Pennsylvania,PA,Barack Obama,2012,24
Pennsylvania,PA,Barack Obama,2013,13
Pennsylvania,PA,Barack Obama,2014,27
Pennsylvania,PA,Barack Obama,2015,4
Pennsylvania,PA,Barack Obama,2016,9
Pennsylvania,PA,Benjamin Harrison,1889,3
Pennsylvania,PA,Calvin Coolidge,1925,6
Pennsylvania,PA,Calvin Coolidge,1926,4
Pennsylvania,PA,Calvin Coolidge,1927,5
Pennsylvania,PA,Donald J. Trump (1st Term),2016,1
Pennsylvania,PA,Donald J. Trump (1st Term),2017,75
Pennsylvania,PA,Donald J. Trump (1st Term),2018,182
Pennsylvania,PA,Donald J. Trump (1st Term),2019,206
Pennsylvania,PA,Donald J. Trump (1st Term),2020,327
Pennsylvania,PA,Donald J. Trump (1st Term),2021,23
Pennsylvania,PA,Donald J. Trump (1st Term),2024,2
Pennsylvania,PA,Donald J. Trump (2nd Term),2025,98
Pennsylvania,PA,Donald J. Trump (2nd Term),2026,1
Pennsylvania,PA,Dwight D. Eisenhower,1953,3
Pennsylvania,PA,Dwight D. Eisenhower,1954,12
Pennsylvania,PA,Dwight D. Eisenhower,1955,4
Pennsylvania,PA,Dwight D. Eisenhower,1956,5
Pennsylvania,PA,Dwight D. Eisenhower,1957,2
Pennsylvania,PA,Dwight D. Eisenhower,1958,6
Pennsylvania,PA,Dwight D. Eisenhower,1959,4
Pennsylvania,PA,Dwight D. Eisenhower,1960,1
Pennsylvania,PA,Franklin D. Roosevelt,1933,1
Pennsylvania,PA,Franklin D. Roosevelt,1934,1
Pennsylvania,PA,Franklin D. Roosevelt,1935,5
Pennsylvania,PA,Franklin D. Roosevelt,1936,19
Pennsylvania,PA,Franklin D. Roosevelt,1937,2
Pennsylvania,PA,Franklin D. Roosevelt,1939,1
Pennsylvania,PA,Franklin D. Roosevelt,1941,1
Pennsylvania,PA,Franklin D. Roosevelt,1942,2
Pennsylvania,PA,Franklin D. Roosevelt,1943,2
Pennsylvania,PA,Franklin D. Roosevelt,1944,1
Pennsylvania,PA,Franklin D. Roosevelt,1945,1
Pennsylvania,PA,George Bush,1989,15
Pennsylvania,PA,George Bush,1990,16
Pennsylvania,PA,George Bush,1991,22
Pennsylvania,PA,George Bush,1992,33
Pennsylvania,PA,George W. Bush,2001,42
Pennsylvania,PA,George W. Bush,2002,98
Pennsylvania,PA,George W. Bush,2003,47
Pennsylvania,PA,George W. Bush,2004,175
Pennsylvania,PA,George W. Bush,2005,29
Pennsylvania,PA,George W. Bush,2006,43
Pennsylvania,PA,George W. Bush,2007,5
Pennsylvania,PA,George W. Bush,2008,7
Pennsylvania,PA,George W. Bush,2011,2
Pennsylvania,PA,George Washington,1794,8
Pennsylvania,PA,Gerald R. Ford,1974,9
Pennsylvania,PA,Gerald R. Ford,1975,7
Pennsylvania,PA,Gerald R. Ford,1976,38
Pennsylvania,PA,Herbert Hoover,1930,2
Pennsylvania,PA,Herbert Hoover,1931,1
Pennsylvania,PA,Herbert Hoover,1932,6
Pennsylvania,PA,Jimmy Carter,1976,2
Pennsylvania,PA,Jimmy Carter,1977,25
Pennsylvania,PA,Jimmy Carter,1978,24
Pennsylvania,PA,Jimmy Carter,1979,25
Pennsylvania,PA,Jimmy Carter,1980,92
Pennsylvania,PA,John Adams,1799,1
Pennsylvania,PA,John F. Kennedy,1961,8
Pennsylvania,PA,John F. Kennedy,1962,34
Pennsylvania,PA,John F. Kennedy,1963,7
Pennsylvania,PA,"Joseph R. Biden, Jr.",2020,4
Pennsylvania,PA,"Joseph R. Biden, Jr.",2021,32
Pennsylvania,PA,"Joseph R. Biden, Jr.",2022,107
Pennsylvania,PA,"Joseph R. Biden, Jr.",2023,99
Pennsylvania,PA,"Joseph R. Biden, Jr.",2024,135
Pennsylvania,PA,"Joseph R. Biden, Jr.",2025,3
Pennsylvania,PA,Lyndon B. Johnson,1964,45
Pennsylvania,PA,Lyndon B. Johnson,1965,10
Pennsylvania,PA,Lyndon B. Johnson,1966,22
Pennsylvania,PA,Lyndon B. Johnson,1967,4
Pennsylvania,PA,Lyndon B. Johnson,1968,3
Pennsylvania,PA,Richard Nixon,1969,1
Pennsylvania,PA,Richard Nixon,1970,9
Pennsylvania,PA,Richard Nixon,1971,3
Pennsylvania,PA,Richard Nixon,1972,7
Pennsylvania,PA,Richard Nixon,1973,2
Pennsylvania,PA,Richard Nixon,1974,3
Pennsylvania,PA,Ronald Reagan,1964,1
Pennsylvania,PA,Ronald Reagan,1981,14
Pennsylvania,PA,Ronald Reagan,1982,18
Pennsylvania,PA,Ronald Reagan,1983,12
Pennsylvania,PA,Ronald Reagan,1984,22
Pennsylvania,PA,Ronald Reagan,1985,15
Pennsylvania,PA,Ronald Reagan,1986,5
Pennsylvania,PA,Ronald Reagan,1987,20
Pennsylvania,PA,Ronald Reagan,1988,6
Pennsylvania,PA,Theodore Roosevelt,1902,3
Pennsylvania,PA,Theodore Roosevelt,1903,2
Pennsylvania,PA,Theodore Roosevelt,1905,2
Pennsylvania,PA,Warren G. Harding,1922,1
Pennsylvania,PA,William Howard Taft,1909,10
Pennsylvania,PA,William Howard Taft,1910,1
Pennsylvania,PA,William J. Clinton,1993,46
Pennsylvania,PA,William J. Clinton,1994,53
Pennsylvania,PA,William J. Clinton,1995,16
Pennsylvania,PA,William J. Clinton,1996,44
Pennsylvania,PA,William J. Clinton,1997,10
Pennsylvania,PA,William J. Clinton,1998,13
Pennsylvania,PA,William J. Clinton,1999,29
Pennsylvania,PA,William J. Clinton,2000,66
Pennsylvania,PA,William J. Clinton,2001,3
Pennsylvania,PA,Woodrow Wilson,1919,1
Rhode Island,RI,Abraham Lincoln,1862,1
Rhode Island,RI,Barack Obama,2009,1
Rhode Island,RI,Barack Obama,2010,18
Rhode Island,RI,Barack Obama,2011,5
Rhode Island,RI,Barack Obama,2012,1
Rhode Island,RI,Barack Obama,2013,1
Rhode Island,RI,Barack Obama,2014,10
Rhode Island,RI,Barack Obama,2015,3
Rhode Island,RI,Barack Obama,2016,3
Rhode Island,RI,Calvin Coolidge,1926,2
Rhode Island,RI,Donald J. Trump (1st Term),2018,1
Rhode Island,RI,Donald J. Trump (1st Term),2019,1
Rhode Island,RI,Donald J. Trump (1st Term),2020,23
Rhode Island,RI,Donald J. Trump (2nd Term),2025,8
Rhode Island,RI,Dwight D. Eisenhower,1953,1
Rhode Island,RI,Dwight D. Eisenhower,1957,2
Rhode Island,RI,Dwight D. Eisenhower,1960,1
Rhode Island,RI,Franklin D. Roosevelt,1936,5
Rhode Island,RI,George Bush,1989,15
Rhode Island,RI,George Bush,1990,7
Rhode Island,RI,George Bush,1992,2
Rhode Island,RI,George W. Bush,2001,4
Rhode Island,RI,George W. Bush,2002,2
Rhode Island,RI,George W. Bush,2004,4
Rhode Island,RI,George W. Bush,2005,2
Rhode Island,RI,George W. Bush,2006,1
Rhode Island,RI,George W. Bush,2007,3
Rhode Island,RI,George W. Bush,2008,1
Rhode Island,RI,Gerald R. Ford,1975,29
Rhode Island,RI,Gerald R. Ford,1976,1
Rhode Island,RI,Herbert Hoover,1930,1
Rhode Island,RI,Jimmy Carter,1978,11
Rhode Island,RI,Jimmy Carter,1979,7
Rhode Island,RI,Jimmy Carter,1980,3
Rhode Island,RI,John Adams,1797,1
Rhode Island,RI,John F. Kennedy,1961,1
Rhode Island,RI,John F. Kennedy,1962,8
Rhode Island,RI,"Joseph R. Biden, Jr.",2021,4
Rhode Island,RI,"Joseph R. Biden, Jr.",2022,7
Rhode Island,RI,"Joseph R. Biden, Jr.",2023,6
Rhode Island,RI,"Joseph R. Biden, Jr.",2024,2
Rhode Island,RI,Lyndon B. Johnson,1964,7
Rhode Island,RI,Lyndon B. Johnson,1965,3
Rhode Island,RI,Lyndon B. Johnson,1966,11
Rhode Island,RI,Lyndon B. Johnson,1967,4
Rhode Island,RI,Lyndon B. Johnson,1968,2
Rhode Island,RI,Richard Nixon,1970,1
Rhode Island,RI,Richard Nixon,1971,3
Rhode Island,RI,Richard Nixon,1972,23
Rhode Island,RI,Ronald Reagan,1983,4
Rhode Island,RI,Ronald Reagan,1984,3
Rhode Island,RI,Ronald Reagan,1985,1
Rhode Island,RI,Ronald Reagan,1987,1
Rhode Island,RI,Theodore Roosevelt,1902,5
Rhode Island,RI,William J. Clinton,1993,4
Rhode Island,RI,William J. Clinton,1994,54
Rhode Island,RI,William J. Clinton,1995,5
Rhode Island,RI,William J. Clinton,1996,13
Rhode Island,RI,William J. Clinton,1997,1
Rhode Island,RI,William J. Clinton,1998,11
Rhode Island,RI,William J. Clinton,1999,10
Rhode Island,RI,William J. Clinton,2000,15
South Carolina,SC,Abraham Lincoln,1860,1
South Carolina,SC,Andrew Johnson,1865,5
South Carolina,SC,Andrew Johnson,1866,3
South Carolina,SC,Barack Obama,2009,20
South Carolina,SC,Barack Obama,2010,6
South Carolina,SC,Barack Obama,2012,8
South Carolina,SC,Barack Obama,2013,4
South Carolina,SC,Barack Obama,2014,3
South Carolina,SC,Barack Obama,2015,16
South Carolina,SC,Barack Obama,2016,20
South Carolina,SC,Calvin Coolidge,1925,1
South Carolina,SC,Calvin Coolidge,1926,2
South Carolina,SC,Calvin Coolidge,1927,3
South Carolina,SC,Calvin Coolidge,1928,3
South Carolina,SC,Donald J. Trump (1st Term),2017,37
South Carolina,SC,Donald J. Trump (1st Term),2018,112
South Carolina,SC,Donald J. Trump (1st Term),2019,71
South Carolina,SC,Donald J. Trump (1st Term),2020,142
South Carolina,SC,Donald J. Trump (1st Term),2021,2
South Carolina,SC,Donald J. Trump (2nd Term),2025,23
South Carolina,SC,Donald J. Trump (2nd Term),2026,1
South Carolina,SC,Dwight D. Eisenhower,1953,1
South Carolina,SC,Dwight D. Eisenhower,1954,2
South Carolina,SC,Dwight D. Eisenhower,1959,1
South Carolina,SC,Franklin D. Roosevelt,1933,1
South Carolina,SC,Franklin D. Roosevelt,1935,3
South Carolina,SC,Franklin D. Roosevelt,1936,1
South Carolina,SC,Franklin D. Roosevelt,1938,2
South Carolina,SC,Franklin D. Roosevelt,1939,1
South Carolina,SC,Franklin D. Roosevelt,1942,1
South Carolina,SC,Franklin D. Roosevelt,1944,1
South Carolina,SC,George Bush,1989,21
South Carolina,SC,George Bush,1990,16
South Carolina,SC,George Bush,1991,4
South Carolina,SC,George Bush,1992,45
South Carolina,SC,George W. Bush,2001,2
South Carolina,SC,George W. Bush,2002,58
South Carolina,SC,George W. Bush,2003,13
South Carolina,SC,George W. Bush,2004,18
South Carolina,SC,George W. Bush,2005,18
South Carolina,SC,George W. Bush,2006,2
South Carolina,SC,George W. Bush,2007,13
South Carolina,SC,George W. Bush,2008,5
South Carolina,SC,George W. Bush,2016,7
South Carolina,SC,Gerald R. Ford,1974,44
South Carolina,SC,Gerald R. Ford,1975,1
South Carolina,SC,Gerald R. Ford,1976,18
South Carolina,SC,Jimmy Carter,1977,8
South Carolina,SC,Jimmy Carter,1978,29
South Carolina,SC,Jimmy Carter,1979,7
South Carolina,SC,Jimmy Carter,1980,34
South Carolina,SC,John F. Kennedy,1962,2
South Carolina,SC,John F. Kennedy,1963,2
South Carolina,SC,"Joseph R. Biden, Jr.",2021,12
South Carolina,SC,"Joseph R. Biden, Jr.",2022,25
South Carolina,SC,"Joseph R. Biden, Jr.",2023,38
South Carolina,SC,"Joseph R. Biden, Jr.",2024,38
South Carolina,SC,"Joseph R. Biden, Jr.",2025,16
South Carolina,SC,Lyndon B. Johnson,1964,13
South Carolina,SC,Lyndon B. Johnson,1965,2
South Carolina,SC,Lyndon B. Johnson,1966,3
South Carolina,SC,Lyndon B. Johnson,1967,3
South Carolina,SC,Lyndon B. Johnson,1968,5
South Carolina,SC,Richard Nixon,1969,2
South Carolina,SC,Richard Nixon,1971,1
South Carolina,SC,Richard Nixon,1972,1
South Carolina,SC,Richard Nixon,1973,3
South Carolina,SC,Richard Nixon,1974,1
South Carolina,SC,Ronald Reagan,1981,2
South Carolina,SC,Ronald Reagan,1982,8
South Carolina,SC,Ronald Reagan,1983,15
South Carolina,SC,Ronald Reagan,1984,9
South Carolina,SC,Ronald Reagan,1985,7
South Carolina,SC,Ronald Reagan,1986,33
South Carolina,SC,Ronald Reagan,1987,2
South Carolina,SC,Ronald Reagan,1988,4
South Carolina,SC,Theodore Roosevelt,1902,8
South Carolina,SC,Warren G. Harding,1923,1
South Carolina,SC,William Howard Taft,1909,10
South Carolina,SC,William Howard Taft,1910,6
South Carolina,SC,William J. Clinton,1993,16
South Carolina,SC,William J. Clinton,1994,16
South Carolina,SC,William J. Clinton,1995,6
South Carolina,SC,William J. Clinton,1996,23
South Carolina,SC,William J. Clinton,1997,6
South Carolina,SC,William J. Clinton,1998,8
South Carolina,SC,William J. Clinton,1999,13
South Carolina,SC,William J. Clinton,2000,21
South Carolina,SC,William J. Clinton,2001,2
South Dakota,SD,Barack Obama,2009,2
South Dakota,SD,Barack Obama,2010,1
South Dakota,SD,Barack Obama,2011,1
South Dakota,SD,Barack Obama,2012,1
South Dakota,SD,Barack Obama,2013,2
South Dakota,SD,Barack Obama,2014,2
South Dakota,SD,Barack Obama,2015,5
South Dakota,SD,Barack Obama,2016,1
South Dakota,SD,Calvin Coolidge,1924,1
South Dakota,SD,Calvin Coolidge,1927,2
South Dakota,SD,Calvin Coolidge,1928,1
South Dakota,SD,Donald J. Trump (1st Term),2018,4
South Dakota,SD,Donald J. Trump (1st Term),2019,3
South Dakota,SD,Donald J. Trump (1st Term),2020,11
South Dakota,SD,Donald J. Trump (2nd Term),2025,4
South Dakota,SD,Dwight D. Eisenhower,1953,1
South Dakota,SD,Dwight D. Eisenhower,1955,1
South Dakota,SD,Dwight D. Eisenhower,1956,1
South Dakota,SD,Franklin D. Roosevelt,1933,1
South Dakota,SD,Franklin D. Roosevelt,1936,7
South Dakota,SD,George Bush,1989,25
South Dakota,SD,George Bush,1991,1
South Dakota,SD,George Bush,1992,16
South Dakota,SD,George W. Bush,2001,10
South Dakota,SD,George W. Bush,2002,62
South Dakota,SD,George W. Bush,2003,1
South Dakota,SD,George W. Bush,2004,8
South Dakota,SD,George W. Bush,2005,1
South Dakota,SD,George W. Bush,2006,2
South Dakota,SD,George W. Bush,2008,1
South Dakota,SD,Gerald R. Ford,1974,26
South Dakota,SD,Gerald R. Ford,1976,2
South Dakota,SD,Jimmy Carter,1977,1
South Dakota,SD,Jimmy Carter,1979,2
South Dakota,SD,Jimmy Carter,1980,3
South Dakota,SD,John F. Kennedy,1962,11
South Dakota,SD,"Joseph R. Biden, Jr.",2021,3
South Dakota,SD,"Joseph R. Biden, Jr.",2022,4
South Dakota,SD,"Joseph R. Biden, Jr.",2024,1
South Dakota,SD,"Joseph R. Biden, Jr.",2025,1
South Dakota,SD,Lyndon B. Johnson,1964,2
South Dakota,SD,Lyndon B. Johnson,1966,1
South Dakota,SD,Lyndon B. Johnson,1967,1
South Dakota,SD,Lyndon B. Johnson,1968,1
South Dakota,SD,Richard Nixon,1969,10
South Dakota,SD,Richard Nixon,1970,3
South Dakota,SD,Richard Nixon,1972,1
South Dakota,SD,Richard Nixon,1974,1
South Dakota,SD,Ronald Reagan,1983,1
South Dakota,SD,Ronald Reagan,1985,1
South Dakota,SD,Ronald Reagan,1986,20
South Dakota,SD,Theodore Roosevelt,1903,1
South Dakota,SD,Warren G. Harding,1923,2
South Dakota,SD,William J. Clinton,1993,13
South Dakota,SD,William J. Clinton,1994,5
South Dakota,SD,William J. Clinton,1995,2
South Dakota,SD,William J. Clinton,1996,28
South Dakota,SD,William J. Clinton,1997,8
South Dakota,SD,William J. Clinton,1998,10
South Dakota,SD,William J. Clinton,1999,37
South Dakota,SD,William J. Clinton,2000,19
South Dakota,SD,William J. Clinton,2001,1
South Dakota,SD,Woodrow Wilson,1919,1
Tennessee,TN,Abraham Lincoln,1860,1
Tennessee,TN,Abraham Lincoln,1864,1
Tennessee,TN,Andrew Johnson,1865,2
Tennessee,TN,Barack Obama,2009,2
Tennessee,TN,Barack Obama,2010,14
Tennessee,TN,Barack Obama,2011,19
Tennessee,TN,Barack Obama,2012,5
Tennessee,TN,Barack Obama,2013,10
Tennessee,TN,Barack Obama,2014,10
Tennessee,TN,Barack Obama,2015,56
Tennessee,TN,Barack Obama,2016,9
Tennessee,TN,Calvin Coolidge,1927,1
Tennessee,TN,Calvin Coolidge,1928,3
Tennessee,TN,Donald J. Trump (1st Term),2016,2
Tennessee,TN,Donald J. Trump (1st Term),2017,34
Tennessee,TN,Donald J. Trump (1st Term),2018,118
Tennessee,TN,Donald J. Trump (1st Term),2019,33
Tennessee,TN,Donald J. Trump (1st Term),2020,82
Tennessee,TN,Donald J. Trump (2nd Term),2025,78
Tennessee,TN,Donald J. Trump (2nd Term),2026,3
Tennessee,TN,Dwight D. Eisenhower,1953,2
Tennessee,TN,Dwight D. Eisenhower,1954,3
Tennessee,TN,Dwight D. Eisenhower,1955,4
Tennessee,TN,Dwight D. Eisenhower,1956,2
Tennessee,TN,Dwight D. Eisenhower,1957,2
Tennessee,TN,Dwight D. Eisenhower,1958,2
Tennessee,TN,Franklin D. Roosevelt,1933,1
Tennessee,TN,Franklin D. Roosevelt,1934,5
Tennessee,TN,Franklin D. Roosevelt,1936,6
Tennessee,TN,Franklin D. Roosevelt,1937,2
Tennessee,TN,Franklin D. Roosevelt,1939,1
Tennessee,TN,Franklin D. Roosevelt,1940,4
Tennessee,TN,Franklin D. Roosevelt,1941,2
Tennessee,TN,Franklin D. Roosevelt,1944,10
Tennessee,TN,Franklin D. Roosevelt,1945,1
Tennessee,TN,George Bush,1989,9
Tennessee,TN,George Bush,1990,26
Tennessee,TN,George Bush,1991,14
Tennessee,TN,George Bush,1992,52
Tennessee,TN,George W. Bush,2001,22
Tennessee,TN,George W. Bush,2002,69
Tennessee,TN,George W. Bush,2003,20
Tennessee,TN,George W. Bush,2004,30
Tennessee,TN,George W. Bush,2005,21
Tennessee,TN,George W. Bush,2006,33
Tennessee,TN,George W. Bush,2007,29
Tennessee,TN,George W. Bush,2008,13
Tennessee,TN,Gerald R. Ford,1974,1
Tennessee,TN,Gerald R. Ford,1975,15
Tennessee,TN,Gerald R. Ford,1976,34
Tennessee,TN,Herbert Hoover,1929,1
Tennessee,TN,Herbert Hoover,1930,2
Tennessee,TN,Herbert Hoover,1931,1
Tennessee,TN,Jimmy Carter,1977,12
Tennessee,TN,Jimmy Carter,1978,51
Tennessee,TN,Jimmy Carter,1979,5
Tennessee,TN,Jimmy Carter,1980,35
Tennessee,TN,John F. Kennedy,1961,1
Tennessee,TN,John F. Kennedy,1962,7
Tennessee,TN,John F. Kennedy,1963,4
Tennessee,TN,"Joseph R. Biden, Jr.",2021,8
Tennessee,TN,"Joseph R. Biden, Jr.",2022,16
Tennessee,TN,"Joseph R. Biden, Jr.",2023,12
Tennessee,TN,"Joseph R. Biden, Jr.",2024,11
